,Location,Type,2 Axles Cash / Non-Tag,2 Axles EZ TAG,3 Axles,4 Axles,5 Axles,6 Axles
0,Tidwell Road,Exit Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
1,Little York,Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
2,Aldine Mail Route,Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
3,Hardy South Plaza,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
4,Central Greens Blvd,Exit Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
5,Airport Connector,Pass Through,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
6,Rankin Road,Exit Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
7,Richey Road,Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
8,FM 1960,Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
9,Hardy North Plaza,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
