,Location,Type,2 Axles Cash / Non-Tag,2 Axles EZ TAG,3 Axles,4 Axles,5 Axles,6 Axles
0,Sam Houston North Plaza,Pass Through,$1.75,$1.50,$3.50,$5.25,$7.00,$8.75
1,SH 249 Direct Connector to Sam Houston Tollway,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
2,State Highway 249,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
3,North Gessner Road,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
4,Fallbrook Drive,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
5,West Road,On Ramp,Cash Not Accepted / $1.25,$0.90,$2.00,$3.00,$4.00,$5.00
6,Sam Houston Central Plaza,Pass Through,$1.75,$1.50,$3.50,$5.25,$7.00,$8.75
7,Tanner Road,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.72,$5.00,$6.25
8,Clay Road,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
9,Hammerly Boulevard / Kempwood,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
10,Deerwood Drive,Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
11,Sam Houston South Plaza,Pass Through,$1.75,$1.50,$3.50,$5.25,$7.00,$8.75
12,Briar Forest Drive,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
13,Westheimer Road,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
14,Bellaire Boulevard,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
15,South Main / US 90,Exit Ramp,$1.00,$0.90,$2.00,$3.00,$4.00,$5.00
16,Hillcroft Avenue,Exit Ramp,$1.00,$0.90,$2.00,$3.00,$4.00,$5.00
17,W. Fuqua Street,Exit Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
18,Almeda Road,Exit Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
19,Sam Houston Southwest Plaza,Pass Through,$1.75,$1.50,$3.50,$5.25,$7.00,$8.75
20,Cullen Boulevard (FM 865),Exit Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
21,Sam Houston Southeast Plaza,Pass Through,$1.75,$1.50,$3.50,$5.25,$7.00,$8.75
22,Wayside Ramp,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
23,Telephone Road,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
24,Monroe / Pearland Parkway,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
25,Sam Houston East Plaza,Pass Through,$1.75,$1.50,$3.50,$5.25,$7.00,$8.75
26,Fairmont Parkway,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
27,Spencer Highway,On Ramp,$1.25,$1.20,$2.75,$3.75,$5.00,$6.25
28,Red Bluff / San Augustine,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
29,Sam Houston Ship Channel Bridge,Pass Through,Cash Not Accepted / $2.00,$1.50,$3.50,$5.25,$7.00,$8.75
30,Tidwell Road,Exit Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
31,Garrett Road,Exit Ramp,Cash Not Accepted / $1.00,$1.20,$2.75,$3.75,$5.00,$6.25
32,Generation Parkway (formerly known as Winfield),Exit Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
33,Sam Houston Northeast Mainlane - EZ TAG only - no cash/coin,Pass Through,Cash Not Accepted / $1.75,$1.50,$3.50,$5.25,$7.00,$8.75
34,W. Lake Houston,On Ramp,Cash Not Accepted / $1.25,$1.20,$2.75,$3.75,$5.00,$6.25
35,John Ralston Road,On Ramp,Cash Not Accepted / $1.00,$0.90,$2.00,$3.00,$4.00,$5.00
36,Wilson Road,On Ramp,Cash Not Accepted / $0.50,$0.50,$1.25,$1.75,$2.00,$2.50
